Feature,Count,Mean,Variance
 packed in tomato juice,2,16.0,0.0
 raw,4,18.0,9.0
 canned,5,21.0,46.0
 red,8,25.0,415.0
 ripe,8,25.0,415.0
 sun-dried,2,235.0,506.0
 stewed,2,52.0,702.0
 cooked,3,38.0,826.0
